Engine Si2e(L),Cylin3ers,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),,CO2 Emissions(g/km),,CO2 Rating,Smog Rating
2.7,4,1,13.9,12,13.1,22,,306,,3,6
2.7,4,1,14.7,13.1,14,20,,328,,3,6
3,6,3,10.9,9.1,10.1,28,,272,,4,3
3,6,3,10.5,9.1,9.9,29,,265,,4,3
3,6,3,11.8,10.3,11.2,25,,298,,4,3
5.3,8,1,16.5,12.8,14.8,19,,347,,3,3
5.3,8,E,22,16.4,19.5,14,,326,,3,3
5.3,8,1,17.4,14.7,16.2,17,,380,,2,3
5.3,8,E,23.1,19.6,21.5,13,,358,,2,3
5.3,8,1,15.6,11.9,13.9,20,,327,,3,6
5.3,8,1,16.9,13.3,15.3,18,,359,,2,6
5.3,8,1,14.7,11.8,13.4,21,,314,,3,6
5.3,8,1,16.8,12.4,14.8,19,,347,,3,6
5.3,8,1,15.3,12.3,13.9,20,,327,,3,6
5.3,8,1,16.1,12.4,14.4,20,,339,,3,6
5.3,8,1,16.6,14,15.4,18,,361,,2,6
5.3,8,1,16.8,13.9,15.5,18,,364,,2,6
5.3,8,1,18.1,13.8,16.2,17,,381,,2,6
6.2,8,2,15.7,11.9,14,20,,329,,3,6
6.2,8,2,16.6,12.3,14.7,19,,345,,3,6
6.2,8,2,16.5,13.2,15,19,,352,,3,6
6.2,8,2,16.5,13.2,15,19,,352,,3,6
6.2,8,2,18.2,14.2,16.4,17,,385,,2,6
6.2,8,2,16.7,14.1,15.5,18,,366,,2,6
1.4,4,1,7.7,6.2,7,40,,165,,7,5
1.4,4,1,8,6.2,7.2,39,,170,,7,5
3,6,3,11.2,8.7,10.1,28,,272,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,16,11.9,14.1,20,,332,,3,6
3,6,3,11.7,9,10.5,27,,281,,4,3
5.3,8,1,15.9,12.4,14.3,20,,336,,3,6
5.3,8,1,17,12.7,15.1,19,,354,,3,6
6.2,8,2,16.3,12.7,14.7,19,,345,,3,6
6.2,8,2,17,12.7,15.1,19,,353,,3,6
3,6,3,11,8.4,9.8,29,,263,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,16,11.9,14.1,20,,332,,3,6
3,6,3,11.7,9,10.5,27,,281,,4,3
5.3,8,1,15.8,11.8,14,20,,327,,3,6
5.3,8,1,17,12.7,15.1,19,,354,,3,6
6.2,8,2,16.3,12.7,14.7,19,,345,,3,6
6.2,8,2,17,12.7,15.1,19,,353,,3,6
1.2,3,1,8,7.6,7.8,36,,184,,6,7
1.3,3,1,8,7.2,7.6,37,,178,,7,7
1.3,3,1,8.9,7.8,8.4,34,,197,,6,7
3.6,6,1,13,8.8,11.1,25,,260,,4,6
3.6,6,1,13.6,9.6,11.8,24,,277,,4,6
1.4,4,1,9.7,7.3,8.6,33,,201,,6,7
1.4,4,1,10.2,7.7,9.1,31,,214,,5,7
3.6,6,1,12.4,7.8,10.3,27,,242,,5,5
5.7,8,1,14.7,9.4,12.3,23,,289,,4,3
3.6,6,1,12.8,8.7,11,26,,258,,4,5
3.6,6,1,12.4,8.4,10.6,27,,249,,5,5
3.6,6,1,12.4,8.4,10.6,27,,249,,5,5
3.6,6,1,14.1,9.4,12,24,,279,,4,5
3.6,6,1,12.4,7.8,10.3,27,,242,,5,5
5.7,8,1,14.7,9.4,12.3,23,,289,,4,3
5.7,8,2,15.6,10.1,13.1,22,,307,,3,1
6.4,8,2,15.8,9.6,13,22,,305,,3,1
6.4,8,2,16.7,10.4,13.9,20,,325,,3,1
3.6,6,1,12.8,8.7,11,26,,258,,4,5
